site,plot,plot.unq,replicate,n.treat,n.treat.dummy,n.treat.cat,weevil,weevil.dummy,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowarea,otherarea,totalstemarea
2,2,20,a,8,1,low,NW,0,4,-27.82,4.9,-0.93,0.360687554,3.741732727,0.288635152,0.009354332,0.000721588,6.086,0.07625,0.039,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927
2,2,20,b,8,1,low,NW,0,4,-28.05,6,-1.22,0.331059357,3.634578923,0.253053846,0.009086447,0.000632635,6.086,0.07625,0.039,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927
2,2,20,c,8,1,low,NW,0,4,-28.24,5.6,-0.67,0.362075655,3.790436769,0.281233692,0.009476092,0.000703084,6.086,0.07625,0.039,5.56,15.91,1.55,1.321,150.6,298.2785145,577.4,7,1,8,669.4426069,17.87008587,687.3126927
2,3,21,a,8,1,low,W,1,4,-27.9,3.7,-0.63,0.255831193,1.2996933,0.1149396,0.003249233,0.000287349,6.894285714,0.074285714,0.028571429,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499
2,3,21,b,8,1,low,W,1,4,-28.07,3.2,-0.76,0.248007207,3.3054891,0.1798032,0.008263723,0.000449508,6.894285714,0.074285714,0.028571429,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499
2,3,21,c,8,1,low,W,1,4,-28.11,4.1,-0.81,0.278277477,2.121984849,0.164506566,0.005304962,0.000411266,6.894285714,0.074285714,0.028571429,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499
2,7,25,a,8,1,low,W,1,5,-27.39,5,-2.49,0.250691275,1.4353224,0.1081973,0.003588306,0.000270493,2.441428571,0.041071429,0.013928571,5.67,15.22,1.75,1.554,54.2,104.2223363,4,2,0,2,3.953301655,0,3.953301655
2,7,25,b,8,1,low,W,1,5,-27.9,4.8,-1.75,0.29459306,2.0677848,0.1424245,0.005169462,0.000356061,2.441428571,0.041071429,0.013928571,5.67,15.22,1.75,1.554,54.2,104.2223363,4,2,0,2,3.953301655,0,3.953301655
2,7,25,c,8,1,low,W,1,5,-27.87,4.6,-1.75,0.267556914,1.6413303,0.1233245,0.004103326,0.000308311,2.441428571,0.041071429,0.013928571,5.67,15.22,1.75,1.554,54.2,104.2223363,4,2,0,2,3.953301655,0,3.953301655
2,9,27,a,8,1,low,NW,0,5,-28.55,8.2,-2.03,0.32161368,1.747655077,0.143419846,0.004369138,0.00035855,2.68875,0.0534375,0.04,5.82,18.54,1.23,1.459,117.1,136.5414707,359.6,10,2,12,401.3553476,71.48694083,472.8422884
2,9,27,b,8,1,low,NW,0,5,-27.91,8.4,-1.3,0.202657658,1.943691231,0.140598923,0.004859228,0.000351497,2.68875,0.0534375,0.04,5.82,18.54,1.23,1.459,117.1,136.5414707,359.6,10,2,12,401.3553476,71.48694083,472.8422884
2,9,27,c,8,1,low,NW,0,5,-27.98,8.6,-1.04,0.305671937,3.146276818,0.199993788,0.007865692,0.000499984,2.68875,0.0534375,0.04,5.82,18.54,1.23,1.459,117.1,136.5414707,359.6,10,2,12,401.3553476,71.48694083,472.8422884
2,15,33,a,8,1,low,W,1,6,-28.4,2.3,-2.91,0.125880597,1.5894141,0.1075861,0.003973535,0.000268965,2.2775,0.029,0.008,5.78,15.44,1.17,1.561,220.2,197.3941204,98.7,10,0,10,118.058303,0,118.058303
2,15,33,b,8,1,low,W,1,6,-28.13,2.4,-2.03,0.156681053,1.239749694,0.096431224,0.003099374,0.000241078,2.2775,0.029,0.008,5.78,15.44,1.17,1.561,220.2,197.3941204,98.7,10,0,10,118.058303,0,118.058303
2,15,33,c,8,1,low,W,1,6,-28.3,2.4,-2.89,0.166936664,1.751553061,0.127751327,0.004378883,0.000319378,2.2775,0.029,0.008,5.78,15.44,1.17,1.561,220.2,197.3941204,98.7,10,0,10,118.058303,0,118.058303
