Sample ID,site,plot,plot.unq,replicate,n.treat,weevil,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,litter_kg_m2_std.error,herb_kg_m2_std.error,som_kg_m2_std.error,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowstemdiam,otherstemdiam,totalstemdiam,plantcover,plantcover.std.error
w3a,West,3,21,a,8,W,4,-27.9,3.7,-0.63,0.255831193,1.2996933,0.1149396,0.003249233,0.000287349,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.279306874
w3b,West,3,21,b,8,W,4,-28.07,3.2,-0.76,0.248007207,3.3054891,0.1798032,0.008263723,0.000449508,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.279306874
w3c,West,3,21,c,8,W,4,-28.11,4.1,-0.81,0.278277477,2.121984849,0.164506566,0.005304962,0.000411266,6.894285714,0.074285714,0.028571429,1.115554223,0.011785714,0.007068061,5.7,16.21,1.43,1.406,160.1,209.8034114,76.80718982,5,0,5,47.75447499,0,47.75447499,0.980357143,0.279306874
w4a,West,4,22,a,0,W,4,-27.8,2.9,-1.54,0.417797682,1.607533,0.2744207,0.004018833,0.000686052,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,0.336818757
w4b,West,4,22,b,0,W,4,-28.03,3.2,-1.22,0.460608538,1.696070606,0.192066667,0.004240177,0.000480167,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,0.336818757
w4c,West,4,22,c,0,W,4,-27.35,3,-1.57,0.403290598,1.7852372,0.2842114,0.004463093,0.000710529,4.505555556,0.026388889,0.006222222,0.398611256,0.007349309,0.00260723,5.68,17.21,1.35,1.349,100.8,151.6054075,308.8743254,5,0,5,330.1107806,0,330.1107806,2.0575,0.336818757
w5a,West,5,23,a,16,NW,4,-27.47,7.3,-0.96,0.369591667,3.532031333,0.273460222,0.008830078,0.000683651,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,0.152495484
w5b,West,5,23,b,16,NW,4,-28.03,7.2,-1.44,0.341027234,3.375688723,0.261376596,0.008439222,0.000653441,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,0.152495484
w5c,West,5,23,c,16,NW,4,-27.88,7.3,-1.9,0.370863715,3.982813333,0.276219111,0.009957033,0.000690548,4.913888889,0.113055556,0.035277778,1.583768477,0.024072293,0.016230996,5.67,12.22,1.42,1.359,178.9,272.7452202,928.9,16,0,16,989.299229,0,989.299229,2.215234375,0.152495484
w6a,West,6,24,a,16,W,4,-27.99,8.1,-1.02,0.506973262,3.681797539,0.233101692,0.009204494,0.000582754,3.981111111,0.025833333,0.016444444,0.525024158,0.005496211,0.006932434,5.72,16.32,1.21,1.278,174.3,350.3189968,294.3,9,1,10,391.7227532,2.847068342,394.5698216,1.9625,0.160619461
w6b,West,6,24,b,16,W,4,-27.78,8.6,-0.91,0.478050655,2.659617692,0.197105538,0.006649044,0.000492764,3.981111111,0.025833333,0.016444444,0.525024158,0.005496211,0.006932434,5.72,16.32,1.21,1.278,174.3,350.3189968,294.3,9,1,10,391.7227532,2.847068342,394.5698216,1.9625,0.160619461
